Category/Attribute,Success,Success %,Total,Score(total),Score(fail),Time(s),Time σ,EE SPARC,SPARC σ,PathLen(m),Path σ,Speed(cm/s),Speed σ
TOTAL,9,60.0,15,0.733,0.333,17.86,13.86,-5.21,1.72,1.88,1.35,6.1,2.2
PROCEDURAL,2,40.0,5,0.400,0.000,13.67,6.41,-5.89,2.03,2.58,1.80,6.0,1.6
  reorientation,1,50.0,2,0.500,0.000,9.13,-,-6.03,3.92,1.46,1.15,5.0,1.9
  sorting,0,0.0,1,0.000,0.000,-,-,-5.17,-,5.10,-,8.0,-
  stacking,1,50.0,2,0.500,0.000,18.20,-,-6.12,0.72,2.44,1.67,6.1,0.6
RELATIONAL,6,100.0,6,1.000,-,20.04,16.79,-4.09,0.80,1.45,0.99,7.5,2.2
  conjunction,3,100.0,3,1.000,-,28.58,22.01,-4.21,0.67,1.89,1.27,6.7,1.0
  counting,1,100.0,1,1.000,-,13.07,-,-3.81,-,1.61,-,11.7,-
  spatial,2,100.0,2,1.000,-,10.73,0.00,-4.03,1.48,0.71,0.00,6.5,0.1
VISUAL,3,33.3,9,0.556,0.333,11.78,2.29,-5.75,1.92,2.21,1.50,5.8,2.8
  color,1,20.0,5,0.300,0.125,9.13,-,-6.18,2.08,2.98,1.65,5.8,1.6
  semantics,2,40.0,5,0.800,0.667,13.10,0.05,-5.58,1.79,1.64,0.96,5.8,3.6
