task_name,env_name,policy,variant,episodes,successes,success_rate,score_mean,episode_step_mean,duration_mean,policy_inference_avg_ms_mean,env_step_avg_ms_mean
AnimalsInBinTask,AnimalsInBinTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,12.0,275.9
AppleAndYogurtInBowlTask,AppleAndYogurtInBowlTask,pi05,unlabeled,1,0,0.0,0.0,1800.0,120.0,11.9,302.7
BBQSauceInBinTask,BBQSauceInBinTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,12.0,296.1
BagelsOnPlateTask,BagelsOnPlateTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,229.1
BananaInBowlTask,BananaInBowlTask,pi05,unlabeled,1,0,0.0,0.0,750.0,50.0,11.9,179.6
BananaOnPlateTask,BananaOnPlateTask,pi05,unlabeled,1,1,1.0,1.0,147.0,9.8,12.1,216.2
BananaThenRubiksCubeTask,BananaThenRubiksCubeTask,pi05,unlabeled,1,0,0.0,0.5,900.0,60.0,11.9,191.3
BananasInBinOneMoreTask,BananasInBinOneMoreTask,pi05,unlabeled,1,1,1.0,1.0,302.0,20.133333333333333,12.4,229.6
BananasInBinThreeTotalTask,BananasInBinThreeTotalTask,pi05,unlabeled,1,1,1.0,1.0,106.0,7.066666666666666,12.9,220.3
BananasInCrateTask,BananasInCrateTask,pi05,unlabeled,1,1,1.0,1.0,358.0,23.866666666666667,11.9,238.0
BananasOutOfBinTask,BananasOutOfBinTask,pi05,unlabeled,1,1,1.0,1.0,691.0,46.06666666666666,12.0,218.2
BigPumpkinInBinTask,BigPumpkinInBinTask,pi05,unlabeled,1,1,1.0,1.0,575.0,38.333333333333336,12.1,413.8
BlackItemsInBinTask,BlackItemsInBinTask,pi05,unlabeled,1,0,0.0,0.800000011920929,1800.0,120.0,11.9,337.8
BlockStackingOrderAgnosticTask,BlockStackingOrderAgnosticTask,pi05,unlabeled,1,0,0.0,0.33000001311302185,1350.0,90.0,11.9,192.1
BlockStackingSpecifiedOrderTask,BlockStackingSpecifiedOrderTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,11.9,184.8
BlocksInBinTask,BlocksInBinTask,pi05,unlabeled,1,0,0.0,0.75,2250.0,150.0,12.0,277.0
BowlInBinTask,BowlInBinTask,pi05,unlabeled,1,1,1.0,1.0,185.0,12.333333333333334,12.3,218.9
BowlStackingLeftOnRightTask,BowlStackingLeftOnRightTask,pi05,unlabeled,1,0,0.0,0.0,300.0,20.0,12.0,183.9
BowlStackingRightOnLeftTask,BowlStackingRightOnLeftTask,pi05,unlabeled,1,0,0.0,0.0,300.0,20.0,12.0,190.6
ButterAboveRaisinTask,ButterAboveRaisinTask,pi05,unlabeled,1,1,1.0,0.0,233.0,15.533333333333333,12.1,201.8
CannedFoodInBinTask,CannedFoodInBinTask,pi05,unlabeled,1,1,1.0,1.0,639.0,42.6,12.2,302.3
ClampInRightBinTask,ClampInRightBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,12.0,211.6
CleanUpToysTask,CleanUpToysTask,pi05,unlabeled,1,0,0.0,0.0,4500.0,300.0,12.0,271.6
ClearOrganicObjectsTask,ClearOrganicObjectsTask,pi05,unlabeled,1,0,0.0,0.0,3600.0,240.0,12.0,383.2
ClutterPlasticTask,ClutterPlasticTask,pi05,unlabeled,1,0,0.0,1.0,2700.0,180.0,12.0,463.4
ClutterPumpkinTask,ClutterPumpkinTask,pi05,unlabeled,1,1,1.0,1.0,1156.0,77.06666666666666,12.1,391.1
CoffeePotInBinTask,CoffeePotInBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,297.1
CondimentsInBinTask,CondimentsInBinTask,pi05,unlabeled,1,0,0.0,0.25,2700.0,180.0,12.0,303.7
CookingClearPlateTask,CookingClearPlateTask,pi05,unlabeled,1,1,1.0,0.5,482.0,32.13333333333333,12.1,350.9
CookingPickPastaToolTask,CookingPickPastaToolTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,12.0,343.7
CubesAndBlocksInBinTask,CubesAndBlocksInBinTask,pi05,unlabeled,1,0,0.0,0.75,3600.0,240.0,11.9,270.9
DishesInBinTask,DishesInBinTask,pi05,unlabeled,1,0,0.0,0.3333333432674408,2700.0,180.0,11.9,255.1
ElectronicsInBinTask,ElectronicsInBinTask,pi05,unlabeled,1,0,0.0,0.25,2700.0,180.0,11.9,332.6
FoodPacking1BoxesTask,FoodPacking1BoxesTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,211.9
FoodPacking1CansTask,FoodPacking1CansTask,pi05,unlabeled,1,1,1.0,1.0,117.0,7.8,12.2,215.7
FoodPacking2BoxesTask,FoodPacking2BoxesTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.9,216.4
FoodPacking2CansTask,FoodPacking2CansTask,pi05,unlabeled,1,0,0.0,0.5,2700.0,180.0,11.9,218.8
FoodPacking3BoxesTask,FoodPacking3BoxesTask,pi05,unlabeled,1,0,0.0,0.0,3600.0,240.0,11.9,240.5
FoodPacking3CansTask,FoodPacking3CansTask,pi05,unlabeled,1,0,0.0,0.6666666865348816,3600.0,240.0,11.9,247.5
FoodPackingByColorTask,FoodPackingByColorTask,pi05,unlabeled,1,0,0.0,0.0,1800.0,120.0,11.8,255.7
FruitsGreenLimesOnPlateTask,FruitsGreenLimesOnPlateTask,pi05,unlabeled,1,0,0.0,0.5,1350.0,90.0,11.9,354.0
FruitsMovingOrangeOrLimeTask,FruitsMovingOrangeOrLimeTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,12.0,384.9
FruitsMovingTask,FruitsMovingTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,383.4
FruitsOnPlate3Task,FruitsOnPlate3Task,pi05,unlabeled,1,1,1.0,1.0,1414.0,94.26666666666667,12.0,356.5
FruitsOnPlateTask,FruitsOnPlateTask,pi05,unlabeled,1,0,0.0,0.4285714328289032,4500.0,300.0,12.0,350.0
FruitsOnionTask,FruitsOnionTask,pi05,unlabeled,1,1,1.0,1.0,428.0,28.53333333333333,12.2,374.1
FruitsOnionToPlateTask,FruitsOnionToPlateTask,pi05,unlabeled,1,1,1.0,1.0,452.0,30.133333333333333,12.2,367.1
FruitsOrangesOnPlateTask,FruitsOrangesOnPlateTask,pi05,unlabeled,1,0,0.0,1.0,1350.0,90.0,11.9,349.3
GrabABagelTask,GrabABagelTask,pi05,unlabeled,1,0,0.0,1.0,450.0,30.0,12.1,431.3
GrabAFruitTask,GrabAFruitTask,pi05,unlabeled,1,0,0.0,0.0,450.0,30.0,12.0,420.3
GreenSpoonsInPotTask,GreenSpoonsInPotTask,pi05,unlabeled,1,0,0.0,0.6666666865348816,2700.0,180.0,11.8,326.8
HammersInLeftBinTask,HammersInLeftBinTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.9,220.2
JugsOnShelfTask,JugsOnShelfTask,pi05,unlabeled,1,0,0.0,0.0,1800.0,120.0,11.8,229.2
KeyboardOutOfBinTask,KeyboardOutOfBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,317.6
LargerObjectRaisinBoxInBinTask,LargerObjectRaisinBoxInBinTask,pi05,unlabeled,1,0,0.0,0.0,450.0,30.0,11.9,204.5
MarkerInMugTask,MarkerInMugTask,pi05,unlabeled,1,0,0.0,0.0,600.0,40.0,12.0,340.3
MouseOnKeyboardTask,MouseOnKeyboardTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,354.0
MoveBananaToBagelPlateTask,MoveBananaToBagelPlateTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,11.9,409.7
MustardAboveRaisinTask,MustardAboveRaisinTask,pi05,unlabeled,1,1,1.0,0.0,136.0,9.066666666666666,12.5,200.0
MustardInLeftBinTask,MustardInLeftBinTask,pi05,unlabeled,1,0,0.0,0.0,450.0,30.0,12.0,191.1
MustardInRightBinTask,MustardInRightBinTask,pi05,unlabeled,1,1,1.0,1.0,139.0,9.266666666666666,12.2,202.5
NonHammerToolsInRightBinTask,NonHammerToolsInRightBinTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,12.0,223.6
OneBottleInSquarePailTask,OneBottleInSquarePailTask,pi05,unlabeled,1,1,1.0,1.0,514.0,34.266666666666666,12.0,244.4
OneBottleOnShelfTask,OneBottleOnShelfTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.8,230.7
PhoneOrRemoteInBinTask,PhoneOrRemoteInBinTask,pi05,unlabeled,1,1,1.0,1.0,467.0,31.133333333333333,12.1,326.6
PickDrillTask,PickDrillTask,pi05,unlabeled,1,0,0.0,1.0,600.0,40.0,11.9,220.6
PickGlassesTask,PickGlassesTask,pi05,unlabeled,1,1,1.0,1.0,240.0,16.0,12.1,318.1
PickOrangeObjectTask,PickOrangeObjectTask,pi05,unlabeled,1,0,0.0,0.5,900.0,60.0,12.0,337.8
PickUpBluePitcherTask,PickUpBluePitcherTask,pi05,unlabeled,1,1,1.0,1.0,184.0,12.266666666666666,12.3,202.9
PickUpGreenObjectTask,PickUpGreenObjectTask,pi05,unlabeled,1,0,0.0,0.5,450.0,30.0,11.9,198.6
PinkSpoonInPotTask,PinkSpoonInPotTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,323.9
PlasticBottlesInSquarePailTask,PlasticBottlesInSquarePailTask,pi05,unlabeled,1,1,1.0,1.0,2631.0,175.4,11.9,246.9
PutBowlOnShelfTopTask,PutBowlOnShelfTopTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,210.4
PutMugsOnShelfTask,PutMugsOnShelfTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.9,213.4
PutTwoMugsOnShelfTask,PutTwoMugsOnShelfTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.9,252.2
RecycleCartonTask,RecycleCartonTask,pi05,unlabeled,1,0,0.0,0.5,1350.0,90.0,12.0,232.5
RecycleCartonsOnBoxTask,RecycleCartonsOnBoxTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,11.9,231.1
RecycleCartonsVerticalCrateTask,RecycleCartonsVerticalCrateTask,pi05,unlabeled,1,0,0.0,0.5,1350.0,90.0,12.0,244.0
RedDishesInBinTask,RedDishesInBinTask,pi05,unlabeled,1,0,0.0,0.5,900.0,60.0,11.8,203.0
RedItemsInBinTask,RedItemsInBinTask,pi05,unlabeled,1,0,0.0,0.5,900.0,60.0,11.9,210.1
ReorientAllMugsTask,ReorientAllMugsTask,pi05,unlabeled,1,0,0.0,0.3333333432674408,1350.0,90.0,11.9,234.5
ReorientJugTask,ReorientJugTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.8,215.2
ReorientRedMugTask,ReorientRedMugTask,pi05,unlabeled,1,1,1.0,1.0,586.0,39.06666666666666,12.1,242.6
ReorientWhiteMugsTask,ReorientWhiteMugsTask,pi05,unlabeled,1,0,0.0,1.0,900.0,60.0,11.9,226.2
RubiksCubeAndBananaTask,RubiksCubeAndBananaTask,pi05,unlabeled,1,1,1.0,1.0,361.0,24.066666666666666,12.1,195.5
RubiksCubeBehindBowlTask,RubiksCubeBehindBowlTask,pi05,unlabeled,1,1,1.0,1.0,112.0,7.466666666666667,12.3,202.6
RubiksCubeInFrontOfBowlTask,RubiksCubeInFrontOfBowlTask,pi05,unlabeled,1,0,0.0,0.3333333432674408,450.0,30.0,11.9,182.7
RubiksCubeLeftOfBowlTask,RubiksCubeLeftOfBowlTask,pi05,unlabeled,1,0,0.0,0.6666666865348816,450.0,30.0,11.9,186.3
RubiksCubeOrBananaTask,RubiksCubeOrBananaTask,pi05,unlabeled,1,1,1.0,1.0,196.0,13.066666666666666,12.3,189.5
RubiksCubeRightOfBowlTask,RubiksCubeRightOfBowlTask,pi05,unlabeled,1,0,0.0,0.6666666865348816,450.0,30.0,11.8,202.8
RubiksCubeTask,RubiksCubeTask,pi05,unlabeled,1,1,1.0,1.0,121.0,8.066666666666666,12.6,195.5
RubiksCubeThenBananaTask,RubiksCubeThenBananaTask,pi05,unlabeled,1,1,1.0,1.0,386.0,25.733333333333334,11.9,197.2
RubiksCubesInBinTask,RubiksCubesInBinTask,pi05,unlabeled,1,1,1.0,1.0,955.0,63.666666666666664,11.9,273.8
SauceBottlesCrateTask,SauceBottlesCrateTask,pi05,unlabeled,1,1,1.0,1.0,564.0,37.6,12.0,205.9
SmallPumpkinInBinTask,SmallPumpkinInBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,12.0,384.8
SmallerObjectButterInBinTask,SmallerObjectButterInBinTask,pi05,unlabeled,1,0,0.0,0.0,450.0,30.0,12.0,206.4
SmartphoneInBinTask,SmartphoneInBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,12.0,323.7
SpoonInMugTask,SpoonInMugTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,12.0,305.4
SpoonsInPotTask,SpoonsInPotTask,pi05,unlabeled,1,0,0.0,0.3333333432674408,2700.0,180.0,12.1,321.5
Stack3RubiksCubeTask,Stack3RubiksCubeTask,pi05,unlabeled,1,0,0.0,0.5,900.0,60.0,11.9,191.4
StackWhiteMugsTask,StackWhiteMugsTask,pi05,unlabeled,1,0,0.0,0.5,900.0,60.0,11.8,244.6
StackYellowOnRedTask,StackYellowOnRedTask,pi05,unlabeled,1,1,1.0,1.0,392.0,26.133333333333333,12.2,280.0
TakeMeasuringSpoonOutTask,TakeMeasuringSpoonOutTask,pi05,unlabeled,1,0,0.0,0.0,600.0,40.0,11.9,240.4
TakeMugsOffOfShelfTask,TakeMugsOffOfShelfTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.9,208.1
TakeSpatulaOffShelfTask,TakeSpatulaOffShelfTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.8,222.0
ThrowAwayAppleTask,ThrowAwayAppleTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,12.0,317.8
ThrowAwaySnacksTask,ThrowAwaySnacksTask,pi05,unlabeled,1,0,0.0,0.0,1800.0,120.0,11.9,320.0
ToolOrganizationBothTask,ToolOrganizationBothTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.9,223.7
ToolOrganizationTask,ToolOrganizationTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.9,226.1
ToolsPickingAllHammersTask,ToolsPickingAllHammersTask,pi05,unlabeled,1,0,0.0,0.0,3600.0,240.0,11.9,277.9
ToolsPickingDrillTask,ToolsPickingDrillTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,264.5
ToolsPickingHammerTask,ToolsPickingHammerTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,262.4
ToyInBinTask,ToyInBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,302.3
UnstackRubiksCubeTask,UnstackRubiksCubeTask,pi05,unlabeled,1,0,0.0,0.5,1350.0,90.0,11.9,222.0
UtensilsInMugTask,UtensilsInMugTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,11.9,454.5
WhiteMugInCenterOfTableTask,WhiteMugInCenterOfTableTask,pi05,unlabeled,1,1,1.0,1.0,166.0,11.066666666666666,12.4,268.0
WhiteMugsInBinTask,WhiteMugsInBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.9,255.9
WoodSpatulaToBowlTask,WoodSpatulaToBowlTask,pi05,unlabeled,1,1,1.0,1.0,315.0,21.0,12.1,387.5
YellowAndWhiteObjectsInBinTask,YellowAndWhiteObjectsInBinTask,pi05,unlabeled,1,1,1.0,1.0,826.0,55.06666666666666,11.9,239.8
YogurtInBowlTask,YogurtInBowlTask,pi05,unlabeled,1,0,0.0,0.0,600.0,40.0,12.0,432.2
