Category/Attribute,Success,Success %,Total,Score(total),Score(fail),Time(s),Time σ,EE SPARC,SPARC σ,PathLen(m),Path σ,Speed(cm/s),Speed σ
TOTAL,34,28.3,120,0.438,0.216,32.50,32.54,-8.08,3.18,4.12,3.51,5.2,1.5
PROCEDURAL,6,17.6,34,0.396,0.267,58.11,59.92,-9.41,2.97,5.47,3.93,4.8,1.3
  affordance,1,8.3,12,0.111,0.030,12.27,-,-10.72,3.28,4.13,3.36,3.7,1.1
  reorientation,1,16.7,6,0.556,0.467,39.07,-,-10.69,2.65,4.07,2.21,4.4,1.2
  sorting,3,25.0,12,0.525,0.367,90.40,75.28,-8.56,3.00,8.02,4.63,5.4,1.1
  stacking,1,16.7,6,0.472,0.366,26.13,-,-8.36,2.05,4.01,1.54,5.5,0.8
RELATIONAL,15,35.7,42,0.462,0.164,26.19,23.52,-7.77,3.49,3.45,3.02,5.3,1.5
  conjunction,5,62.5,8,0.781,0.417,29.81,15.57,-6.15,2.24,3.84,4.19,6.2,1.9
  counting,4,57.1,7,0.714,0.333,36.33,39.29,-10.09,4.61,3.65,2.84,5.3,2.1
  spatial,6,20.7,29,0.282,0.094,16.41,14.79,-8.04,3.56,3.57,2.93,4.9,1.2
VISUAL,20,23.8,84,0.396,0.207,41.29,38.58,-8.52,3.08,4.63,3.65,5.2,1.5
  color,6,23.1,26,0.441,0.273,31.20,16.95,-7.89,2.79,3.55,2.16,4.9,1.6
  semantics,14,23.3,60,0.371,0.180,45.57,44.71,-9.02,3.17,5.29,3.97,5.3,1.5
  size,2,33.3,6,0.333,0.000,106.87,96.92,-6.55,2.52,3.73,4.55,5.0,1.2
