task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,1,0,0.0,1350.0,0.0,12.0
AppleAndYogurtInBowlTask,1,0,0.0,1800.0,0.0,11.9
BBQSauceInBinTask,1,0,0.0,1350.0,0.0,12.0
BagelsOnPlateTask,1,0,0.0,900.0,0.0,11.9
BananaInBowlTask,1,0,0.0,750.0,0.0,11.9
BananaOnPlateTask,1,1,1.0,147.0,1.0,12.1
BananaThenRubiksCubeTask,1,0,0.0,900.0,0.5,11.9
BananasInBinOneMoreTask,1,1,1.0,302.0,1.0,12.4
BananasInBinThreeTotalTask,1,1,1.0,106.0,1.0,12.9
BananasInCrateTask,1,1,1.0,358.0,1.0,11.9
BananasOutOfBinTask,1,1,1.0,691.0,1.0,12.0
BigPumpkinInBinTask,1,1,1.0,575.0,1.0,12.1
BlackItemsInBinTask,1,0,0.0,1800.0,0.800000011920929,11.9
BlockStackingOrderAgnosticTask,1,0,0.0,1350.0,0.33000001311302185,11.9
BlockStackingSpecifiedOrderTask,1,0,0.0,1350.0,0.0,11.9
BlocksInBinTask,1,0,0.0,2250.0,0.75,12.0
BowlInBinTask,1,1,1.0,185.0,1.0,12.3
BowlStackingLeftOnRightTask,1,0,0.0,300.0,0.0,12.0
BowlStackingRightOnLeftTask,1,0,0.0,300.0,0.0,12.0
ButterAboveRaisinTask,1,1,1.0,233.0,0.0,12.1
CannedFoodInBinTask,1,1,1.0,639.0,1.0,12.2
ClampInRightBinTask,1,0,0.0,900.0,0.0,12.0
CleanUpToysTask,1,0,0.0,4500.0,0.0,12.0
ClearOrganicObjectsTask,1,0,0.0,3600.0,0.0,12.0
ClutterPlasticTask,1,0,0.0,2700.0,1.0,12.0
ClutterPumpkinTask,1,1,1.0,1156.0,1.0,12.1
CoffeePotInBinTask,1,0,0.0,900.0,0.0,11.9
CondimentsInBinTask,1,0,0.0,2700.0,0.25,12.0
CookingClearPlateTask,1,1,1.0,482.0,0.5,12.1
CookingPickPastaToolTask,1,0,0.0,900.0,0.0,12.0
CubesAndBlocksInBinTask,1,0,0.0,3600.0,0.75,11.9
DishesInBinTask,1,0,0.0,2700.0,0.3333333432674408,11.9
ElectronicsInBinTask,1,0,0.0,2700.0,0.25,11.9
