task_length,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
10_atomic_conditions,1,0,0.0,1800.0,0.800000011920929,11.9
11_subtasks,1,0,0.0,3600.0,0.0,12.0
14_atomic_conditions,2,0,0.0,4050.0,0.5892857164144516,11.95
18_atomic_conditions,1,0,0.0,4500.0,0.0,12.0
1_atomic_conditions,5,0,0.0,420.0,0.4,12.0
1_subtasks,53,20,0.37735849056603776,593.9622641509434,0.39622641509433965,12.047169811320755
22_atomic_conditions,1,0,0.0,3600.0,0.0,12.0
2_atomic_conditions,55,23,0.41818181818181815,606.290909090909,0.43636363636363634,12.049090909090909
2_subtasks,41,9,0.21951219512195122,1399.219512195122,0.3780487804878049,11.94390243902439
3_atomic_conditions,7,2,0.2857142857142857,618.2857142857143,0.5709523899214608,12.014285714285714
3_subtasks,17,5,0.29411764705882354,1686.9411764705883,0.6076470666071948,11.964705882352941
4_atomic_conditions,33,5,0.15151515151515152,1597.3030303030303,0.2878787878787879,11.924242424242424
4_subtasks,4,0,0.0,2812.5,0.3125,11.95
5_subtasks,1,0,0.0,1800.0,0.800000011920929,11.9
6_atomic_conditions,11,4,0.36363636363636365,2276.4545454545455,0.6666666729883715,11.936363636363637
7_subtasks,2,0,0.0,4050.0,0.5892857164144516,11.95
8_atomic_conditions,4,0,0.0,2812.5,0.3125,11.95
9_subtasks,1,0,0.0,4500.0,0.0,12.0
