task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,3,0,0.0,1350.0,,
BagelsOnPlateTask,3,0,0.0,900.0,,
BananaInBowlTask,3,2,0.6666666666666666,366.0,,
BananasInBinOneMoreTask,3,3,1.0,215.0,,
BananasInBinThreeTotalTask,3,3,1.0,220.66666666666666,,
BlackItemsInBinTask,3,0,0.0,1800.0,,
BlockStackingSpecifiedOrderTask,3,0,0.0,1350.0,,
ClampInRightBinTask,3,0,0.0,900.0,,
CleanUpToysTask,3,0,0.0,4500.0,,
CookingClearPlateTask,3,3,1.0,556.6666666666666,,
CookingPickPastaToolTask,3,0,0.0,900.0,,
CubesAndBlocksInBinTask,3,1,0.3333333333333333,2985.3333333333335,,
FoodPackingByColorTask,3,0,0.0,1800.0,,
NonHammerToolsInRightBinTask,3,0,0.0,2700.0,,
PlasticBottlesInSquarePailTask,3,2,0.6666666666666666,1466.6666666666667,,
PutMugsOnShelfTask,3,0,0.0,2700.0,,
ReorientJugTask,3,1,0.3333333333333333,836.0,,
ToolsPickingDrillTask,3,0,0.0,900.0,,
ToolsPickingHammerTask,3,0,0.0,900.0,,
YellowAndWhiteObjectsInBinTask,3,0,0.0,900.0,,
