task_length,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
10_atomic_conditions,3,0,0.0,1800.0,,
14_atomic_conditions,3,1,0.3333333333333333,2985.3333333333335,,
18_atomic_conditions,3,0,0.0,4500.0,,
1_subtasks,24,9,0.375,654.7083333333334,,
2_atomic_conditions,24,9,0.375,654.7083333333334,,
2_subtasks,21,3,0.14285714285714285,1558.095238095238,,
3_atomic_conditions,3,0,0.0,1350.0,,
3_subtasks,6,2,0.3333333333333333,1408.3333333333333,,
4_atomic_conditions,21,3,0.14285714285714285,1558.095238095238,,
5_subtasks,3,0,0.0,1800.0,,
6_atomic_conditions,3,2,0.6666666666666666,1466.6666666666667,,
7_subtasks,3,1,0.3333333333333333,2985.3333333333335,,
9_subtasks,3,0,0.0,4500.0,,
