task_name,env_name,policy,variant,episodes,successes,success_rate,score_mean,episode_step_mean,duration_mean,policy_inference_avg_ms_mean,env_step_avg_ms_mean
AnimalsInBinTask,AnimalsInBinTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,1350.0,90.0,,
AnimalsInBinTask,AnimalsInBinTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,1350.0,90.0,,
AnimalsInBinTask,AnimalsInBinTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,1350.0,90.0,,
BagelsOnPlateTask,BagelsOnPlateTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,900.0,60.0,,
BagelsOnPlateTask,BagelsOnPlateTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,900.0,60.0,,
BagelsOnPlateTask,BagelsOnPlateTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,900.0,60.0,,
BananaInBowlTask,BananaInBowlTask_randomize_external_camera,pi05,camera_external_randomized,1,1,1.0,,161.0,10.733333333333333,,
BananaInBowlTask,BananaInBowlTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,1,1.0,,187.0,12.466666666666667,,
BananaInBowlTask,BananaInBowlTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,750.0,50.0,,
BananasInBinOneMoreTask,BananasInBinOneMoreTask_randomize_external_camera,pi05,camera_external_randomized,1,1,1.0,,235.0,15.666666666666666,,
BananasInBinOneMoreTask,BananasInBinOneMoreTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,1,1.0,,123.0,8.2,,
BananasInBinOneMoreTask,BananasInBinOneMoreTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,1,1.0,,287.0,19.133333333333333,,
BananasInBinThreeTotalTask,BananasInBinThreeTotalTask_randomize_external_camera,pi05,camera_external_randomized,1,1,1.0,,286.0,19.066666666666666,,
BananasInBinThreeTotalTask,BananasInBinThreeTotalTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,1,1.0,,212.0,14.133333333333333,,
BananasInBinThreeTotalTask,BananasInBinThreeTotalTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,1,1.0,,164.0,10.933333333333334,,
BlackItemsInBinTask,BlackItemsInBinTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,1800.0,120.0,,
BlackItemsInBinTask,BlackItemsInBinTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,1800.0,120.0,,
BlackItemsInBinTask,BlackItemsInBinTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,1800.0,120.0,,
BlockStackingSpecifiedOrderTask,BlockStackingSpecifiedOrderTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,1350.0,90.0,,
BlockStackingSpecifiedOrderTask,BlockStackingSpecifiedOrderTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,1350.0,90.0,,
BlockStackingSpecifiedOrderTask,BlockStackingSpecifiedOrderTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,1350.0,90.0,,
ClampInRightBinTask,ClampInRightBinTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,900.0,60.0,,
ClampInRightBinTask,ClampInRightBinTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,900.0,60.0,,
ClampInRightBinTask,ClampInRightBinTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,900.0,60.0,,
CleanUpToysTask,CleanUpToysTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,4500.0,300.0,,
CleanUpToysTask,CleanUpToysTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,4500.0,300.0,,
CleanUpToysTask,CleanUpToysTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,4500.0,300.0,,
CookingClearPlateTask,CookingClearPlateTask_randomize_external_camera,pi05,camera_external_randomized,1,1,1.0,,689.0,45.93333333333333,,
CookingClearPlateTask,CookingClearPlateTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,1,1.0,,391.0,26.066666666666666,,
CookingClearPlateTask,CookingClearPlateTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,1,1.0,,590.0,39.333333333333336,,
CookingPickPastaToolTask,CookingPickPastaToolTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,900.0,60.0,,
CookingPickPastaToolTask,CookingPickPastaToolTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,900.0,60.0,,
