task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,6,0,0.0,1350.0,0.25,11.833333333333332
BagelsOnPlateTask,6,0,0.0,900.0,0.0,11.799999999999999
BananaInBowlTask,6,4,0.6666666666666666,404.8333333333333,1.0,11.9
BananasInBinOneMoreTask,6,5,0.8333333333333334,327.6666666666667,1.0,11.866666666666667
BananasInBinThreeTotalTask,6,6,1.0,272.1666666666667,1.0,11.966666666666667
BlackItemsInBinTask,6,0,0.0,1800.0,0.30000000447034836,11.799999999999999
BlockStackingSpecifiedOrderTask,6,0,0.0,1350.0,0.0,11.799999999999999
ClampInRightBinTask,6,0,0.0,900.0,0.0,11.766666666666666
CleanUpToysTask,6,0,0.0,4500.0,0.0,11.766666666666666
CookingClearPlateTask,6,5,0.8333333333333334,948.8333333333334,0.25,11.866666666666667
CookingPickPastaToolTask,6,0,0.0,900.0,0.0,11.833333333333334
CubesAndBlocksInBinTask,6,2,0.3333333333333333,3178.0,0.875,11.799999999999999
FoodPackingByColorTask,6,0,0.0,1800.0,0.0,11.799999999999999
NonHammerToolsInRightBinTask,6,0,0.0,2700.0,0.0,11.799999999999999
PlasticBottlesInSquarePailTask,6,4,0.6666666666666666,1700.1666666666667,1.0,11.799999999999999
PutMugsOnShelfTask,6,0,0.0,2700.0,0.5,11.766666666666666
ReorientJugTask,6,1,0.16666666666666666,868.0,0.0,11.799999999999999
ToolsPickingDrillTask,6,0,0.0,900.0,0.0,11.799999999999999
ToolsPickingHammerTask,6,0,0.0,900.0,0.0,11.799999999999999
YellowAndWhiteObjectsInBinTask,6,0,0.0,900.0,0.0,11.733333333333333
