task_name,env_name,policy,variant,episodes,successes,success_rate,score_mean,episode_step_mean,duration_mean,policy_inference_avg_ms_mean,env_step_avg_ms_mean
AnimalsInBinTask,AnimalsInBinTask,gr00t,unlabeled,1,0,0.0,0.0,1350.0,90.0,18.6,293.0
BagelsOnPlateTask,BagelsOnPlateTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,18.4,206.5
BananaInBowlTask,BananaInBowlTask,gr00t,unlabeled,1,0,0.0,0.0,750.0,50.0,18.5,191.9
BananasInBinOneMoreTask,BananasInBinOneMoreTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,18.4,214.9
BananasInBinThreeTotalTask,BananasInBinThreeTotalTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,18.5,222.0
BlackItemsInBinTask,BlackItemsInBinTask,gr00t,unlabeled,1,0,0.0,0.20000000298023224,1800.0,120.0,18.6,318.6
BlockStackingSpecifiedOrderTask,BlockStackingSpecifiedOrderTask,gr00t,unlabeled,1,0,0.0,0.0,1350.0,90.0,19.2,199.5
ClampInRightBinTask,ClampInRightBinTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,19.0,226.6
CleanUpToysTask,CleanUpToysTask,gr00t,unlabeled,1,0,0.0,0.0,4500.0,300.0,18.5,259.0
CookingClearPlateTask,CookingClearPlateTask,gr00t,unlabeled,1,0,0.0,0.0,2700.0,180.0,18.5,354.0
CookingPickPastaToolTask,CookingPickPastaToolTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,18.6,347.1
CubesAndBlocksInBinTask,CubesAndBlocksInBinTask,gr00t,unlabeled,1,0,0.0,0.0,3600.0,240.0,18.5,285.4
FoodPackingByColorTask,FoodPackingByColorTask,gr00t,unlabeled,1,0,0.0,0.0,1800.0,120.0,19.1,265.6
NonHammerToolsInRightBinTask,NonHammerToolsInRightBinTask,gr00t,unlabeled,1,0,0.0,0.0,2700.0,180.0,18.7,232.1
PlasticBottlesInSquarePailTask,PlasticBottlesInSquarePailTask,gr00t,unlabeled,1,0,0.0,0.0,2700.0,180.0,18.5,255.4
PutMugsOnShelfTask,PutMugsOnShelfTask,gr00t,unlabeled,1,0,0.0,0.0,2700.0,180.0,18.5,231.8
ReorientJugTask,ReorientJugTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,18.5,235.1
ToolsPickingDrillTask,ToolsPickingDrillTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,18.6,269.2
ToolsPickingHammerTask,ToolsPickingHammerTask,gr00t,unlabeled,1,0,0.0,1.0,900.0,60.0,18.5,270.7
YellowAndWhiteObjectsInBinTask,YellowAndWhiteObjectsInBinTask,gr00t,unlabeled,1,0,0.0,0.0,900.0,60.0,19.3,253.9
