Category/Attribute,Success,Success %,Total,Score(total),Score(fail),Time(s),Time σ,EE SPARC,SPARC σ,PathLen(m),Path σ,Speed(cm/s),Speed σ
TOTAL,0,0.0,20,0.060,0.060,-,-,-9.07,3.80,4.51,6.54,3.9,1.9
PROCEDURAL,0,0.0,10,0.020,0.020,-,-,-10.60,4.45,6.94,8.76,4.2,2.5
  affordance,0,0.0,2,0.000,0.000,-,-,-9.74,4.87,3.45,0.22,4.2,2.3
  reorientation,0,0.0,1,0.000,0.000,-,-,-6.30,-,3.61,-,5.8,-
  sorting,0,0.0,7,0.029,0.029,-,-,-11.45,4.67,8.29,10.39,4.0,2.8
  stacking,0,0.0,1,0.000,0.000,-,-,-6.42,-,4.49,-,5.5,-
RELATIONAL,0,0.0,11,0.091,0.091,-,-,-8.61,3.10,2.75,1.11,3.3,1.1
  conjunction,0,0.0,2,0.000,0.000,-,-,-10.89,4.40,4.06,1.79,3.8,1.6
  counting,0,0.0,3,0.000,0.000,-,-,-9.02,3.63,2.38,0.82,3.1,0.7
  spatial,0,0.0,7,0.143,0.143,-,-,-8.44,3.18,2.62,0.83,3.1,1.1
VISUAL,0,0.0,18,0.067,0.067,-,-,-8.57,3.66,4.53,6.90,4.0,2.0
  color,0,0.0,7,0.171,0.171,-,-,-7.14,1.91,3.47,1.17,3.9,1.2
  semantics,0,0.0,12,0.083,0.083,-,-,-9.12,4.26,5.02,8.50,4.1,2.3
  size,0,0.0,1,0.000,0.000,-,-,-20.64,-,5.81,-,4.1,-
