task_name,env_name,policy,variant,episodes,successes,success_rate,score_mean,episode_step_mean,duration_mean,policy_inference_avg_ms_mean,env_step_avg_ms_mean
AnimalsInBinTask,AnimalsInBinTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,11.8,264.1
BagelsOnPlateTask,BagelsOnPlateTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.7,239.2
BananaInBowlTask,BananaInBowlTask,pi05,unlabeled,1,0,0.0,0.0,750.0,50.0,11.7,179.3
BananasInBinOneMoreTask,BananasInBinOneMoreTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.7,208.8
BananasInBinThreeTotalTask,BananasInBinThreeTotalTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.8,208.7
BlackItemsInBinTask,BlackItemsInBinTask,pi05,unlabeled,1,0,0.0,0.20000000298023224,1800.0,120.0,11.8,296.3
BlockStackingSpecifiedOrderTask,BlockStackingSpecifiedOrderTask,pi05,unlabeled,1,0,0.0,0.0,1350.0,90.0,11.7,180.5
ClampInRightBinTask,ClampInRightBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.7,226.4
CleanUpToysTask,CleanUpToysTask,pi05,unlabeled,1,0,0.0,0.0,4500.0,300.0,11.7,271.0
CookingClearPlateTask,CookingClearPlateTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.7,329.0
CookingPickPastaToolTask,CookingPickPastaToolTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.7,318.4
CubesAndBlocksInBinTask,CubesAndBlocksInBinTask,pi05,unlabeled,1,0,0.0,0.0,3600.0,240.0,11.6,268.7
FoodPackingByColorTask,FoodPackingByColorTask,pi05,unlabeled,1,0,0.0,0.0,1800.0,120.0,11.6,237.5
NonHammerToolsInRightBinTask,NonHammerToolsInRightBinTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.7,205.7
PlasticBottlesInSquarePailTask,PlasticBottlesInSquarePailTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.7,241.7
PutMugsOnShelfTask,PutMugsOnShelfTask,pi05,unlabeled,1,0,0.0,0.0,2700.0,180.0,11.6,212.9
ReorientJugTask,ReorientJugTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.7,222.4
ToolsPickingDrillTask,ToolsPickingDrillTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.7,260.8
ToolsPickingHammerTask,ToolsPickingHammerTask,pi05,unlabeled,1,0,0.0,1.0,900.0,60.0,11.8,261.0
YellowAndWhiteObjectsInBinTask,YellowAndWhiteObjectsInBinTask,pi05,unlabeled,1,0,0.0,0.0,900.0,60.0,11.6,229.5
