task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,1,0,0.0,1350.0,0.0,11.8
BagelsOnPlateTask,1,0,0.0,900.0,0.0,11.7
BananaInBowlTask,1,0,0.0,750.0,0.0,11.7
BananasInBinOneMoreTask,1,0,0.0,900.0,0.0,11.7
BananasInBinThreeTotalTask,1,0,0.0,900.0,0.0,11.8
BlackItemsInBinTask,1,0,0.0,1800.0,0.20000000298023224,11.8
BlockStackingSpecifiedOrderTask,1,0,0.0,1350.0,0.0,11.7
ClampInRightBinTask,1,0,0.0,900.0,0.0,11.7
CleanUpToysTask,1,0,0.0,4500.0,0.0,11.7
CookingClearPlateTask,1,0,0.0,2700.0,0.0,11.7
CookingPickPastaToolTask,1,0,0.0,900.0,0.0,11.7
CubesAndBlocksInBinTask,1,0,0.0,3600.0,0.0,11.6
FoodPackingByColorTask,1,0,0.0,1800.0,0.0,11.6
NonHammerToolsInRightBinTask,1,0,0.0,2700.0,0.0,11.7
PlasticBottlesInSquarePailTask,1,0,0.0,2700.0,0.0,11.7
PutMugsOnShelfTask,1,0,0.0,2700.0,0.0,11.6
ReorientJugTask,1,0,0.0,900.0,0.0,11.7
ToolsPickingDrillTask,1,0,0.0,900.0,0.0,11.7
ToolsPickingHammerTask,1,0,0.0,900.0,1.0,11.8
YellowAndWhiteObjectsInBinTask,1,0,0.0,900.0,0.0,11.6
