task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,1,0,0.0,1350.0,0.0,12.1
BagelsOnPlateTask,1,0,0.0,900.0,0.0,12.0
BananaInBowlTask,1,1,1.0,160.0,1.0,12.1
BananasInBinOneMoreTask,1,1,1.0,210.0,1.0,11.8
BananasInBinThreeTotalTask,1,1,1.0,257.0,1.0,12.3
BlackItemsInBinTask,1,0,0.0,1800.0,0.4000000059604645,12.0
BlockStackingSpecifiedOrderTask,1,0,0.0,1350.0,0.0,12.0
ClampInRightBinTask,1,0,0.0,900.0,0.0,11.9
CleanUpToysTask,1,0,0.0,4500.0,0.0,12.0
CookingClearPlateTask,1,1,1.0,826.0,0.0,12.1
CookingPickPastaToolTask,1,0,0.0,900.0,0.0,12.0
CubesAndBlocksInBinTask,1,0,0.0,3600.0,0.75,12.0
FoodPackingByColorTask,1,0,0.0,1800.0,0.0,12.0
NonHammerToolsInRightBinTask,1,0,0.0,2700.0,0.0,12.0
PlasticBottlesInSquarePailTask,1,1,1.0,1553.0,1.0,12.0
PutMugsOnShelfTask,1,0,0.0,2700.0,0.5,11.9
ReorientJugTask,1,0,0.0,900.0,0.0,12.0
ToolsPickingDrillTask,1,0,0.0,900.0,0.0,12.0
ToolsPickingHammerTask,1,0,0.0,900.0,0.0,12.0
YellowAndWhiteObjectsInBinTask,1,0,0.0,900.0,0.0,12.0
