task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,7,0,0.0,1350.0,0.16666666666666666,11.899999999999999
BagelsOnPlateTask,7,0,0.0,900.0,0.0,11.85
BananaInBowlTask,7,5,0.7142857142857143,369.85714285714283,1.0,11.95
BananasInBinOneMoreTask,7,6,0.8571428571428571,310.85714285714283,1.0,11.850000000000001
BananasInBinThreeTotalTask,7,7,1.0,270.0,1.0,12.05
BlackItemsInBinTask,7,0,0.0,1800.0,0.3333333383003871,11.85
BlockStackingSpecifiedOrderTask,7,0,0.0,1350.0,0.0,11.85
ClampInRightBinTask,7,0,0.0,900.0,0.0,11.8
CleanUpToysTask,7,0,0.0,4500.0,0.0,11.825
CookingClearPlateTask,7,6,0.8571428571428571,931.2857142857143,0.16666666666666666,11.925
CookingPickPastaToolTask,7,0,0.0,900.0,0.0,11.875
CubesAndBlocksInBinTask,7,2,0.2857142857142857,3238.285714285714,0.8333333333333334,11.85
FoodPackingByColorTask,7,0,0.0,1800.0,0.0,11.85
NonHammerToolsInRightBinTask,7,0,0.0,2700.0,0.0,11.85
PlasticBottlesInSquarePailTask,7,5,0.7142857142857143,1679.142857142857,1.0,11.85
PutMugsOnShelfTask,7,0,0.0,2700.0,0.5,11.8
ReorientJugTask,7,1,0.14285714285714285,872.5714285714286,0.0,11.85
ToolsPickingDrillTask,7,0,0.0,900.0,0.0,11.85
ToolsPickingHammerTask,7,0,0.0,900.0,0.0,11.85
YellowAndWhiteObjectsInBinTask,7,0,0.0,900.0,0.0,11.8
