task_length,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
10_atomic_conditions,7,0,0.0,1800.0,0.3333333383003871,11.85
14_atomic_conditions,7,2,0.2857142857142857,3238.285714285714,0.8333333333333334,11.85
18_atomic_conditions,7,0,0.0,4500.0,0.0,11.825
1_subtasks,56,19,0.3392857142857143,677.9107142857143,0.375,11.884375
2_atomic_conditions,56,19,0.3392857142857143,677.9107142857143,0.375,11.884375
2_subtasks,49,6,0.12244897959183673,1611.6122448979593,0.11904761904761904,11.853571428571428
3_atomic_conditions,7,0,0.0,1350.0,0.0,11.85
3_subtasks,14,5,0.35714285714285715,1514.5714285714287,0.5,11.85
4_atomic_conditions,49,6,0.12244897959183673,1611.6122448979593,0.11904761904761904,11.853571428571428
5_subtasks,7,0,0.0,1800.0,0.3333333383003871,11.85
6_atomic_conditions,7,5,0.7142857142857143,1679.142857142857,1.0,11.85
7_subtasks,7,2,0.2857142857142857,3238.285714285714,0.8333333333333334,11.85
9_subtasks,7,0,0.0,4500.0,0.0,11.825
