task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,1,0,0.0,1350.0,0.5,11.7
BagelsOnPlateTask,1,0,0.0,900.0,0.0,11.7
BananaInBowlTask,1,1,1.0,421.0,1.0,11.9
BananasInBinOneMoreTask,1,1,1.0,211.0,1.0,12.0
BananasInBinThreeTotalTask,1,1,1.0,115.0,1.0,11.9
BlackItemsInBinTask,1,0,0.0,1800.0,0.20000000298023224,11.7
BlockStackingSpecifiedOrderTask,1,0,0.0,1350.0,0.0,11.7
ClampInRightBinTask,1,0,0.0,900.0,0.0,11.7
CleanUpToysTask,1,0,0.0,4500.0,0.0,11.7
CookingClearPlateTask,1,1,1.0,497.0,0.5,11.8
CookingPickPastaToolTask,1,0,0.0,900.0,0.0,11.8
CubesAndBlocksInBinTask,1,1,1.0,2912.0,1.0,11.7
FoodPackingByColorTask,1,0,0.0,1800.0,0.0,11.7
NonHammerToolsInRightBinTask,1,0,0.0,2700.0,0.0,11.7
PlasticBottlesInSquarePailTask,1,1,1.0,1548.0,1.0,11.7
PutMugsOnShelfTask,1,0,0.0,2700.0,0.5,11.7
ReorientJugTask,1,0,0.0,900.0,0.0,11.7
ToolsPickingDrillTask,1,0,0.0,900.0,0.0,11.7
ToolsPickingHammerTask,1,0,0.0,900.0,0.0,11.7
YellowAndWhiteObjectsInBinTask,1,0,0.0,900.0,0.0,11.6
