task_name,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
AnimalsInBinTask,1,0,0.0,1350.0,,11.7
BagelsOnPlateTask,1,0,0.0,900.0,,11.7
BananaInBowlTask,1,0,0.0,750.0,,11.7
BananasInBinOneMoreTask,1,0,0.0,900.0,,11.8
BananasInBinThreeTotalTask,1,1,1.0,599.0,,11.7
BlackItemsInBinTask,1,0,0.0,1800.0,,11.7
BlockStackingSpecifiedOrderTask,1,0,0.0,1350.0,,11.7
ClampInRightBinTask,1,0,0.0,900.0,,11.7
CleanUpToysTask,1,0,0.0,4500.0,,11.6
CookingClearPlateTask,1,0,0.0,2700.0,,11.7
CookingPickPastaToolTask,1,0,0.0,900.0,,11.7
CubesAndBlocksInBinTask,1,0,0.0,3600.0,,11.7
FoodPackingByColorTask,1,0,0.0,1800.0,,11.7
NonHammerToolsInRightBinTask,1,0,0.0,2700.0,,11.7
PlasticBottlesInSquarePailTask,1,0,0.0,2700.0,,11.7
PutMugsOnShelfTask,1,0,0.0,2700.0,,11.7
ReorientJugTask,1,0,0.0,900.0,,11.7
ToolsPickingDrillTask,1,0,0.0,900.0,,11.7
ToolsPickingHammerTask,1,0,0.0,900.0,,11.7
YellowAndWhiteObjectsInBinTask,1,0,0.0,900.0,,11.6
